name,type,muscle,difficulty,instructions,equipments,safety_info
Weighted pull-up,strength,lats,intermediate,"Attach a weight to a dip belt and secure it around your waist. Grab the pull-up bar with the palms of your hands facing forward. For a medium grip, your hands should be spaced at shoulder width. Both arms should be extended in front of you holding the bar at the chosen grip. You'll want to bring your torso back about 30 degrees while creating a curvature in your lower back and sticking your chest out. This will be your starting position. Now, exhale and pull your torso up until your head is above your hands. Concentrate on squeezing your shoulder blades back and down as you reach the top contracted position. After a brief moment at the top contracted position, inhale and slowly lower your torso back to the starting position with your arms extended and your lats fully stretched.","['pull-up bar', 'dip belt', 'weight plate']","Securely fasten the weight to a dip belt and use a sturdy pull-up bar; keep the torso only slightly leaned back without over-arching the lower back, keep shoulder blades pulled down and back, and perform controlled reps without swinging or dropping into the bottom."
Pullups,strength,lats,intermediate,"Grab the pull-up bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width. As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position. Pull your torso up until the bar touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar. After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched. Repeat this motion for the prescribed amount of repetitions.  Variations:  If you are new at this exercise and do not have the strength to perform it, use a chin assist machine if available. These machines use weight to help you push your bodyweight. Otherwise, a spotter holding your legs can help. On the other hand, more advanced lifters can add weight to the exercise by using a weight belt that allows the addition of weighted plates. The behind the neck variation is not recommended as it can be hard on the rotator cuff due to the hyperextension created by bringing the bar behind the neck.","['pull-up bar', 'chin assist machine', 'weight belt', 'weight plates']","Avoid the behind-the-neck variation due to rotator cuff stress. Keep the torso stable (no swinging), control the movement through full range, and use assistance if you cannot perform strict reps. Only add weight if you are an advanced lifter."
Close-grip pull-down,strength,lats,intermediate,"Sit down on a pull-down machine with a V-Bar attached to the top pulley. Adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar. Grab the V-bar with the palms facing each other (a neutral grip). Stick your chest out and lean yourself back slightly (around 30-degrees) in order to better engage the lats. This will be your starting position. Using your lats, pull the bar down as you squeeze your shoulder blades. Continue until your chest nearly touches the V-bar. Exhale as you execute this motion. Tip: Keep the torso stationary throughout the movement. After a second hold on the contracted position, slowly bring the bar back to the starting position as you breathe in. Repeat for the prescribed number of repetitions.  Caution: Avoid the temptation to use a weight so big that you need to start swinging your torso in order to perform the exercise.","['lat pulldown machine', 'v-bar attachment']","Adjust and secure the knee pad, use a manageable weight, and keep the torso stationary (no swinging). Maintain only a slight lean (~30°) and control the movement through full range, especially on the return."
Pull-up,strength,lats,beginner,"Take a wide grip on a pull-up bar, hanging freely with your arms extended. This will be your starting position. Pull yourself up by flexing the elbows and adducting the glenohumeral joint. Do not swing or use momentum to complete the movement. Attempt to get your chin above your hands. Pause at the top of the motion before lowering yourself to the starting position.",['pull-up bar'],"Start from a dead hang with arms extended. Pull up without swinging or using momentum, pause at the top, and lower under control."
Shotgun row,strength,lats,intermediate,"Attach a single handle to a low cable. After selecting the correct weight, stand a couple feet back with a wide-split stance. Your arm should be extended and your shoulder forward. This will be your starting position. Perform the movement by retracting the shoulder and flexing the elbow. As you pull, supinate the wrist, turning the palm upward as you go. After a brief pause, return to the starting position. <","['cable machine', 'single handle attachment']","Use a manageable weight and control the movement—retract the shoulder before bending the elbow, keep your core braced and back neutral, supinate only within a pain‑free range, avoid twisting or jerking, and return the handle slowly to protect the shoulder and wrist."
Muscle Up,strength,lats,intermediate,"Grip the rings using a false grip, with the base of your palms on top of the rings. Initiate a pull up by pulling the elbows down to your side, flexing the elbows. As you reach the top position of the pull-up, pull the rings to your armpits as you roll your shoulders forward, allowing your elbows to move straight back behind you. This puts you into the proper position to continue into the dip portion of the movement. Maintaining control and stability, extend through the elbow to complete the motion. Use care when lowering yourself to the ground.",['gymnastic rings'],"Use a secure false grip and maintain control and stability through the pull-to-dip transition; keep shoulders rolled forward with elbows moving straight back, and control the descent—use care when lowering to the ground."
Close-Grip Front Lat Pulldown,strength,lats,intermediate,"Sit down on a pull-down machine with a wide bar attached to the top pulley. Make sure that you adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar. Grab the bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width. As you have both arms extended in front of you - while holding the bar at the chosen grip width - bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position. As you breathe out, bring the bar down until it touches your upper chest by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary (only the arms should move). The forearms should do no other work except for holding the bar; therefore do not try to pull the bar down using the forearms. After a second in the contracted position, while squeezing your shoulder blades together, slowly raise the bar back to the starting position when your arms are fully extended and the lats are fully stretched. Inhale during this portion of the movement. 6. Repeat this motion for the prescribed amount of repetitions.  Variations: The behind-the-neck variation is not recommended as it can be hard on the rotator cuff due to the hyperextension created by bringing the bar behind the neck.","['lat pulldown machine', 'lat pulldown bar']","Adjust the knee pad to secure your thighs, keep a slight lean with chest up and torso still, pull the bar to the upper chest with controlled motion (don’t jerk or pull with the forearms), and avoid the behind-the-neck variation to reduce rotator-cuff strain."
Rocky Pull-Ups/Pulldowns,strength,lats,beginner,"Grab the pull-up bar with the palms facing forward using a wide grip. As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position. Pull your torso up until the bar touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar. After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched. Now repeat the same movements as described above except this time your torso will remain straight as you go up and the bar will touch the back of the neck instead of the upper chest. Tip: Use the head to lean forward slightly as it will help you properly execute this portion of the exercise. Once you have lowered yourself back down to the starting position, repeat the exercise for the prescribed amount of repetitions in your program.  Caution: The behind the neck variation can be hard on the rotator cuff due to the hyperextension created by bringing the bar behind the neck so this exercise is not recommended for people with shoulder problems. Variations:  If you are new at this exercise and do not have the strength to perform it, use a chin assist machine if available. These machines use weight to help you push your bodyweight. Otherwise, a spotter holding your legs can help. You can also use a pull-down machine.","['pull-up bar', 'chin assist machine', 'pull-down machine']","The behind-the-neck variation stresses the rotator cuff due to shoulder hyperextension—avoid it if you have shoulder issues. Keep the torso stable and move under control; if you lack strength, use an assisted pull-up or pulldown machine (or a spotter)."
Around-the-world pull-up,strength,lats,beginner,"With a grip well outside shoulder width, hang freely from an overhead bar as you would doing a pull-up. This will be your starting position. Instead of pulling yourself directly up to the bar, contract your lats to instead go in a counter-clockwise direction, pulling yourself partway up to the right side and continue going upward as you move back toward the center of the bar. Here your chin should meet the bar at the apex of the move. Continue in a circular motion until you are back to the center, reaching full arm extension. Complete for the designated number of reps in the same counter-clockwise motion. Because of the asymmetrical motion youâ€™ll repeat the move for the same number of reps going in a clockwise direction as well.",['pull-up bar'],Use a secure pull-up bar with a firm wide grip. Move in a controlled circular path without swinging; the asymmetrical motion can stress the shoulders. Repeat both directions to stay balanced and stop if you feel pain or loss of grip.
Assisted Chin-Up,strength,lats,beginner,"Use an assisted pull-up machine or securely attach a heavy-duty band to a pull-up station, securing it around just one knee. The tension should be taut enough to pull that lower leg up. Grasp the bar with an underhand grip, about shoulder-width apart, and hang at full arm extension. This is your start position. Keeping your body straight, contract your biceps and lats to pull yourself up as high as you can, driving your elbows down. Slowly release to full arm extension. Repeat for the required number of repetitions and safely dismount from the apparatus.","['assisted pull-up machine', 'pull-up bar', 'resistance band']","Secure the band or machine setup before starting. Use an underhand, shoulder‑width grip, keep the body straight, and move in a controlled manner—no swinging or kipping. Choose an assistance level that allows full range without shoulder strain, lower slowly to full extension, and step into/out of the band and dismount carefully to avoid snap‑back."
Atlas Stones,strongman,lower_back,intermediate,"Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold. Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground. As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs. Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible.","['atlas stone', 'loading platform']","Intermediate strongman lift—use a neutral spine and hinge at the hips, keeping the stone tight to your torso. Lap the stone before re-gripping and drive with hips/legs; don’t curl or yank with the arms. Choose an appropriate weight and ensure the loading platform is stable. Keep fingers clear when placing the stone on the platform."
Back extension,strength,lower_back,intermediate,"Lie face down on a hyperextension bench, tucking your ankles securely under the footpads. Adjust the upper pad if possible so your upper thighs lie flat across the wide pad, leaving enough room for you to bend at the waist without any restriction. With your body straight, cross your arms in front of you (my preference) or behind your head. This will be your starting position. Tip: You can also hold a weight plate for extra resistance in front of you under your crossed arms. Start bending forward slowly at the waist as far as you can while keeping your back flat. Inhale as you perform this movement. Keep moving forward until you feel a nice stretch on the hamstrings and you can no longer keep going without a rounding of the back. Tip: Never round the back as you perform this exercise. Also, some people can go farther than others. The key thing is that you go as far as your body allows you to without rounding the back. Slowly raise your torso back to the initial position as you inhale. Tip: Avoid the temptation to arch your back past a straight line. Also, do not swing the torso at any time in order to protect the back from injury. Repeat for the recommended amount of repetitions.  Variations: This exercise can also be performed without a hyperextension bench, but in this case you will need a spotter. Also, a similar exercise to this one is the good morning and the stiff-legged deadlift.","['hyperextension bench', 'weight plate']","Secure ankles and adjust pads before starting. Keep a neutral spine—do not round or hyperextend. Move in a slow, controlled range your body allows and avoid swinging. Use a spotter if performing without a hyperextension bench."
Barbell deficit deadlift,powerlifting,lower_back,beginner,"Begin by having a platform or weight plates that you can stand on, usually 1-3 inches in height. Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an overhand grip or an over/under grip on heavier sets. With your feet, and your grip set, take a big breath and then lower your hips and bend the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar. Lower the bar by bending at the hips and guiding it to the floor.","['barbell', 'weight plates', 'platform']","Use only a small 1–3 inch deficit, brace before lifting, keep chest up with a neutral/arched back and the bar close to your shins, drive through the heels, and lower under control. Avoid rounding your lower back and start with a manageable load as a beginner."
Axle Deadlift,strongman,lower_back,beginner,"Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an over/under grip. With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar. Lower the bar by bending at the hips and guiding it to the floor.","['axle bar', 'weight plates']","Brace with a big breath before pulling, keep your chest up and back arched (neutral), and drive through the heels with the bar close to your shins/knees. Avoid rounding or jerking the bar; pull smoothly and finish by driving hips forward. Lower under control by hinging at the hips. As a beginner, start with light loads to master form."
Partner Flat-Bench Back Extension,strength,lower_back,beginner,"Lie prone on a flat bench with your shoulders and head off the bench. Your midsection and legs should be supported and your partner should firmly press down on your upper hamstrings to keep you in position on the bench. Once secured, lift your hand off the floor and cross them over your chest. This will be your starting position. Contract your lower back to rise off the bench as high as you can, then slowly release and extend down as far as the range of motion will allow.","['flat bench', 'partner']","Ensure your midsection and legs are supported on a stable flat bench while a partner firmly holds your upper hamstrings to prevent sliding. Move in a slow, controlled range of motion and only to a comfortable depth; avoid jerking or overextending the lower back."
Partner Superman with alternating high-five,strength,lower_back,beginner,"Lie facedown on the floor about a 2 feet from your partner, shoulders and elbows bent about 90 degrees, feet about hip-width apart. Your bodies should mirror each otherâ€™s. This will be your starting position. Contracting your lower back, glutes, and hamstrings, simultaneously raise your feet and upper torso off the floor, crossing one hand over to tap your partner's hand. Lower back down to the starting position using control so all limbs touch the floor and repeat to the opposite side. Make sure to keep your head neutral so that itâ€™s aligned with your torso throughout the set.","['exercise mat', 'partner']","Keep your head/neck neutral and avoid over-arching the lower back. Lift and lower with control, engaging glutes and hamstrings, and coordinate with your partner while keeping about 2 feet of space to avoid collisions. Stop if you feel back pain or discomfort."
Keg Load,strongman,lower_back,beginner,"To load kegs, place the desired number a distance from the loading platform, typically 30-50 feet. Begin by grabbing the close handle of the first keg, tilting it onto its side to grab the opposite edge of the bottom of the keg. Lift the keg up to your chest. The higher you can place the keg, the faster you should be able to move to the platform. Shouldering is usually not allowed. Be sure to keep a firm hold on the keg. Move as quickly as possible to the platform, and load it, extending through your hips, knees, and ankles to get it as high as possible. Return to the starting position to retrieve the next keg, and repeat until the event is completed.","['kegs', 'loading platform']","Use a stable loading platform and clear path. Keep a firm grip and hold the keg high/close to the chest; do not shoulder the keg. Move quickly but under control, and when loading extend through the hips, knees, and ankles rather than pulling with the back. Start with a manageable keg weight for a beginner."
Partner bench back extension,strength,lower_back,beginner,"Lie prone on a flat bench with your shoulders and head off the bench. Your midsection and legs should be supported and your partner should firmly press down on your upper hamstrings to keep you in position on the bench. Once secured, lift your hand off the floor and cross them over your chest. This will be your starting position. Contract your lower back to rise off the bench as high as you can, hold for 5 seconds, then slowly release and extend down as far as the range of motion will allow.","['flat bench', 'partner']","Have a partner firmly press down on your upper hamstrings to anchor you on the bench; move slowly within a comfortable range of motion, hold briefly, and avoid hyperextending the lower back or letting the hips lift off the bench."
Yoga plex,stretching,lower_back,intermediate,,[],"Perform slowly and with control; keep a neutral spine and avoid forcing range or bouncing. Stretch only to mild tension and breathe steadily. Stop if you feel sharp pain, numbness, or tingling. Regress if needed and avoid during acute back injury; consult a professional if you have lower‑back issues."
Exercise ball rear delt fly,strength,lower_back,intermediate,,['exercise ball'],"Intermediate strength move on an exercise ball—maintain a neutral spine, brace your core, and avoid hyperextending the lower back. Ensure the ball is stable and start with a manageable resistance to prevent loss of balance or strain."
T-Bar Row with Handle,strength,middle_back,intermediate,"Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end. Stand over the bar, and position a Double D row handle around the bar next to the collar. Using your hips and legs, rise to a standing position. Assume a wide stance with your hips back and your chest up. Your arms should be extended. This will be your starting position. Pull the weight to your upper abdomen by retracting the shoulder blades and flexing the elbows. Do not jerk the weight or cheat during the movement. After a brief pause, return to the starting position.","['barbell', 'weight plates', 'landmine attachment', 'double d row handle']","Secure the bar in a landmine or firmly wedged corner so it can’t move. Keep chest up, hips back and a neutral spine; use your hips/legs to lift to the start. Pull under control without jerking or cheating, and use an appropriate weight to avoid lower‑back strain."
Reverse-grip bent-over row,strength,middle_back,intermediate,"Stand erect while holding a barbell with a supinated grip (palms facing up). Bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position. While keeping the torso stationary, lift the barbell as you breathe out, keeping the elbows close to the body and not doing any force with the forearm other than holding the weights. On the top contracted position, squeeze the back muscles and hold for a second. Slowly lower the weight again to the starting position as you inhale. Repeat for the recommended amount of repetitions.  Caution:  This exercise is not recommended for people with back problems. A Low Pulley Row is a better choice for people with back issues. Also, just like with the bent knee dead-lift, if you have a healthy back, ensure perfect form and never slouch the back forward as this can cause back injury. Be cautious as well with the weight used; in case of doubt, use less weight rather than more.  Variations: You can perform the same exercise using a pronated (palms facing out) grip or using dumbbells.",['barbell'],"Avoid if you have back problems; keep your back straight and head up (do not round), keep the torso stationary, and use conservative weight to maintain form. Consider a low pulley row if you have back issues."
One-Arm Dumbbell Row,strength,middle_back,intermediate,"Choose a flat bench and place a dumbbell on each side of it. Place the right leg on top of the end of the bench, bend your torso forward from the waist until your upper body is parallel to the floor, and place your right hand on the other end of the bench for support. Use the left hand to pick up the dumbbell on the floor and hold the weight while keeping your lower back straight. The palm of the hand should be facing your torso. This will be your starting position. Pull the resistance straight up to the side of your chest, keeping your upper arm close to your side and keeping the torso stationary. Breathe out as you perform this step. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. Also, make sure that the force is performed with the back muscles and not the arms. Finally, the upper torso should remain stationary and only the arms should move. The forearms should do no other work except for holding the dumbbell; therefore do not try to pull the dumbbell up using the forearms. Lower the resistance straight down to the starting position. Breathe in as you perform this step. Repeat the movement for the specified amount of repetitions. Switch sides and repeat again with the other arm.  Variations: One-arm rows can also be performed using a high pulley or a low pulley instead of a dumbbell.","['dumbbell', 'flat bench']",Keep your lower back straight and torso stationary to avoid strain; do not round or twist. Pull with the back muscles (forearms only hold the dumbbell) and keep the upper arm close to your side. Use the bench for support and control the weight; exhale on the pull and inhale on the descent.
One-Arm Long Bar Row,strength,middle_back,intermediate,"Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end. Stand next to the bar, and take a grip with one hand close to the collar. Using your hips and legs, rise to a standing position. Assume a bent-knee stance with your hips back and your chest up. Your arm should be extended. This will be your starting position. Pull the weight to your side by retracting the shoulder and flexing the elbow. Do not jerk the weight or cheat during the movement. After a brief pause, return to the starting position.","['barbell', 'landmine attachment', 'weight plates']","Secure the barbell in a landmine base or stable corner before loading. Keep a neutral spine with hips back and chest up, and use your legs to lift into position. Pull with control—do not jerk or twist—and use an appropriate weight, pausing briefly before lowering under control."
T-Bar Row,strength,middle_back,intermediate,"Load the bar to an appropriate weight for your training. Stand astride the bar and bend at the hips to take a pronated grip on the handles. Ensure that your back remains flat, and then remove the weight from the rests, letting the bar hang at arms length. This will be your starting position. Perform the movement by flexing the elbows and retracting the shoulder blades, pulling the weight to your chest. After a brief pause at the top of the motion, return to the starting position.","['t-bar row machine', 'weight plates']","Keep your back flat and hinge at the hips throughout. Use an appropriate load, brace your core, and pull under control by retracting the shoulder blades—avoid jerking or rounding your spine. Pause briefly at the top and lower the weight smoothly, returning it to the rests carefully."
Alternating sit-through with crunch,strength,middle_back,intermediate,"Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward. Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent. Now grab the bar with one arm just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position. Pull the bar straight up with your elbow in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement. Breathe out as you lift the weight. Tip: Do not allow for any swinging of the torso. Only the arm should move. Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor. To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones). Repeat for the recommended amount of repetitions and switch arms.  Variations: You can perform this exercise using a low pulley.","['olympic barbell', 'weight plates']","Secure the free end of the barbell so it can’t slide; hinge forward with a flat back and slight knee bend; keep the torso still (no swinging) and elbow in; lift and lower under control, exhaling on the lift; do not let the plates touch the floor. Using smaller plates can improve range of motion."
Rower,cardio,middle_back,intermediate,"To begin, seat yourself on the rower. Make sure that your heels are resting comfortably against the base of the foot pedals and that the straps are secured. Select the program that you wish to use, if applicable. Sit up straight and bend forward at the hips. There are three phases of movement when using a rower. The first phase is when you come forward on the rower. Your knees are bent and against your chest. Your upper body is leaning slightly forward while still maintaining good posture.Next, push against the foot pedals and extend your legs while bringing your hands to your upper abdominal area, squeezing your shoulders back as you do so. To avoid straining your back, use primarily your leg and hip muscles. The recovery phase simply involves straightening your arms, bending the knees, and bringing your body forward again as you transition back into the first phase.",['rowing machine'],"Secure the foot straps with heels set against the pedals; sit tall and hinge at the hips. Drive primarily with your legs and hips, keep shoulders back, and avoid rounding or pulling with the lower back to prevent strain. Control the return phase and maintain good posture throughout."
Seated Cable Rows,strength,middle_back,intermediate,"For this exercise you will need access to a low pulley row machine with a V-bar. Note: The V-bar will enable you to have a neutral grip where the palms of your hands face each other. To get into the starting position, first sit down on the machine and place your feet on the front platform or crossbar provided making sure that your knees are slightly bent and not locked. Lean over as you keep the natural alignment of your back and grab the V-bar handles. With your arms extended pull back until your torso is at a 90-degree angle from your legs. Your back should be slightly arched and your chest should be sticking out. You should be feeling a nice stretch on your lats as you hold the bar in front of you. This is the starting position of the exercise. Keeping the torso stationary, pull the handles back towards your torso while keeping the arms close to it until you touch the abdominals. Breathe out as you perform that movement. At that point you should be squeezing your back muscles hard. Hold that contraction for a second and slowly go back to the original position while breathing in. Repeat for the recommended amount of repetitions.  Caution: Avoid swinging your torso back and forth as you can cause lower back injury by doing so. Variations: You can use a straight bar instead of a V-Bar and perform with a pronated grip (palms facing down-forward) or a supinated grip (palms facing up-reverse grip).","['low pulley row machine', 'v-bar handle', 'straight bar']","Keep your spine neutral and torso stationary; avoid swinging or leaning back to prevent lower-back injury. Keep knees slightly bent (don’t lock), maintain a slight arch without rounding the back, and control both the pull and the return."
Incline dumbbell row,strength,middle_back,intermediate,"Using a neutral grip, lean into an incline bench. Take a dumbbell in each hand with a neutral grip, beginning with the arms straight. This will be your starting position. Retract the shoulder blades and flex the elbows to row the dumbbells to your side. Pause at the top of the motion, and then return to the starting position.","['dumbbells', 'incline bench']","Keep your chest supported on the incline bench, maintain a neutral grip and spine, retract the shoulder blades before pulling, and move the weights in a controlled manner—pause at the top and lower under control. Avoid using momentum or excessive load."
Bent Over Two-Arm Long Bar Row,strength,middle_back,intermediate,"Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward. Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent. Now grab the bar with both arms just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position. Pull the bar straight up with your elbows in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement. Breathe out as you lift the weight. Tip: Use a stirrup or double handle cable attachment by hooking it under the end of the bar. Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor. To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones). Repeat for the recommended amount of repetitions.  Variations: You can perform this exercise using a low pulley or T-bar row machine.","['olympic barbell', 'weight plates', 'heavy object to anchor barbell']","Secure the bar’s free end so it cannot slide (corner of two walls or a heavy object). Bend forward until your torso is near parallel with the floor with knees slightly bent. Lift smoothly and exhale on the pull, then lower under control. Do not let the plates touch the floor; smaller plates can improve range of motion."
Lying Face Down Plate Neck Resistance,strength,neck,beginner,"Lie face down with your whole body straight on a flat bench while holding a weight plate behind your head. Tip: You will need to position yourself so that your shoulders are slightly above the end of a flat bench in order for the upper chest, neck and face to be off the bench. This will be your starting position. While keeping the plate secure on the back of your head slowly lower your head (as in saying yes) as you breathe in. Raise your head back up to the starting position in a semi-circular motion as you breathe out. Hold the contraction for a second. Repeat for the recommended amount of repetitions.  Caution: As with all exercises, refrain from using any sort of sudden or jerking motions. Variation: You can opt to use no resistance at first.","['flat bench', 'weight plate']","Position shoulders just past the bench edge so the neck and face are off the pad; keep the plate secured on the back of your head and move slowly without jerking; breathe steadily, and start with no resistance if needed."
Lying Face Up Plate Neck Resistance,strength,neck,beginner,"Lie face up with your whole body straight on a flat bench while holding a weight plate on top of your forehead. Tip: You will need to position yourself so that your shoulders are slightly above the end of a flat bench in order for the traps, neck and head to be off the bench. This will be your starting position. While keeping the plate secure on your forehead slowly lower your head back in a semi-circular motion as you breathe in. Raise your head back up to the starting position in a semi-circular motion as you breathe out. Hold the contraction for a second. Repeat for the recommended amount of repetitions.  Caution: As with all exercises, refrain from using any sort of sudden or jerking motions. Variation: You can opt to use no resistance at first.","['flat bench', 'weight plate']","Position your shoulders slightly past the end of the flat bench so your head/neck are off the bench; keep the plate secure on your forehead. Move slowly in a controlled semi-circular motion, avoid any sudden or jerking motions, and breathe steadily. Beginners can start with no resistance."
Seated Head Harness Neck Resistance,strength,neck,beginner,"Place a neck strap on the floor at the end of a flat bench. Once you have selected the weights, sit at the end of the flat bench with your feet wider than shoulder width apart from each other. Your toes should be pointed out. Slowly move your torso forward until it is almost parallel with the floor. Using both hands, securely position the neck strap around your head. Tip: Make sure the weights are still lying on the floor to prevent any strain on the neck. Now grab the weight with both hands while elevating your torso back until it is almost perpendicular to the floor. Note: Your head and torso needs to be slightly tilted forward to perform this exercise. Now place both hands on top of your knees. This is the starting position. Slowly lower your neck down until your chin touches the upper part of your chest while breathing in. While exhaling, bring your neck back to the starting position. Repeat for the recommended amount of repetitions.  Caution: This exercise puts a lot of stress on the neck muscles and should be approached with caution. Any sudden jerk or movement can cause you to strain a neck muscle. It is best to practice the form at first without any weights to get used to the movements required for this exercise.","['head harness', 'flat bench', 'weight plate']","High neck-stress exercise—use slow, controlled reps and avoid sudden jerks. Keep the weights on the floor while securing the harness. Practice the movement without weight first to learn form, then progress gradually."
Isometric Neck Exercise - Sides,strength,neck,beginner,"With your head and neck in a neutral position (normal position with head erect facing forward), place your left hand on the left side of your head. Now gently push towards the left as you contract the left neck muscles but resisting any movement of your head. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction. Hold for the recommended number of seconds. Now release the tension slowly. Rest for the recommended amount of time and repeat with your right hand placed on the right side of your head.  Variations: You can also do this exercise by placing your hands to the front and then to the back of your head. First do one side and then the next.",[],"Maintain a neutral neck; apply gentle, gradual pressure with the hand and resist without moving the head. Breathe normally and release tension slowly. Avoid sudden or excessive force, and stop if you feel pain or dizziness; consult a professional if you have neck issues."
Isometric Neck Exercise - Front And Back,strength,neck,beginner,"With your head and neck in a neutral position (normal position with head erect facing forward), place both of your hands on the front side of your head. Now gently push forward as you contract the neck muscles but resisting any movement of your head. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction. Hold for the recommended number of seconds. Now release the tension slowly. Rest for the recommended amount of time and repeat with your hands placed on the back side of your head.  Variations: You can also do this exercise by placing your hands on the sides of your head. First do one side and then the next.",[],"Keep head and neck in a neutral position. Apply gentle, gradually increasing pressure with your hands while resisting any movement, breathe normally (don’t hold your breath), and release the tension slowly on each rep."
Neck Bridge Prone,strength,neck,beginner,"Begin in a prone position on the floor, on your hands and knees. Place your head next to your hands but a few inches nearer your legs, then extend your legs, driving your hips into the air. Transition into supporting your weight on your head by removing your hands from the ground. Perform this movement slowly, backing off if any serious discomfort is felt and avoiding it if you have any pre-existing neck injury. Hold the neck bridge for a period of time, and then carefully return your hands and knees to the floor.",[],"Perform the movement slowly and with control; support your weight on your head only when stable. Stop if you feel serious discomfort and avoid this exercise if you have any pre-existing neck injury. Carefully transition on and off the position, returning hands and knees to the floor."
Side Neck Stretch,stretching,neck,intermediate,"Start with your shoulders relaxed, gently tilt your head towards your shoulder. Assist stretch with a gentle pull on the side of the head.",[],"Keep shoulders relaxed and tilt the head slowly. Use only gentle hand pressure—do not yank or force the neck and avoid bouncing. Stay within a comfortable range and stop if you feel sharp pain, tingling, or numbness; be cautious if you have neck issues or recent injury."
